,fold0_variance,fold0_dens_variance,fold0_random,fold0_uncertainty,fold0_dens_uncertainty,fold1_variance
1,"[3535, 606, 116, 1905, 379, 1660, 1610, 3623, 1593, 411, 185, 728, 697, 3729, 868, 171, 1864, 1789, 1894, 1159, 2071, 1700, 2950, 2175, 2197, 124, 575, 1734, 1432, 1812, 2432, 1307, 1249, 1611, 1802, 1126]","[1245, 307, 1018, 98, 635, 467, 1010, 1593, 1067, 479, 1932, 703, 2305, 1882, 942, 848, 31, 28, 1928, 36, 1029, 5, 2266, 608, 110, 1652, 563, 1263, 906, 2779, 1812, 2246, 2014, 594, 827, 920]","[2932, 1063, 883, 2341, 2300, 2648, 206, 822, 3420, 2069, 1836, 3070, 263, 1167, 2769, 2663, 3492, 458, 3033, 663, 2793, 2767, 3098, 2367, 3755, 972, 3213, 571, 3178, 2625, 1563, 1250, 537, 2318, 690, 1191]","[2357, 2884, 2977, 2676, 1506, 1108, 2422, 2147, 2478, 610, 969, 2608, 2090, 3751, 113, 640, 3518, 3479, 3483, 1807, 1234, 2405, 1096, 1454, 1162, 3343, 1761, 1168, 896, 3392, 3442, 3480, 1176, 1363, 945, 1490]","[1539, 2248, 980, 1045, 1023, 117, 1735, 1645, 708, 199, 2944, 1763, 146, 1323, 1066, 1419, 257, 530, 209, 959, 268, 163, 906, 16, 195, 1723, 698, 930, 1299, 245, 378, 3033, 586, 280, 2385, 424]","[230, 1671, 2487, 3277, 192, 196, 3505, 118, 1902, 1499, 1491, 3664, 3630, 441, 2770, 2399, 210, 259, 3014, 1572, 3411, 587, 132, 2450, 2612, 876, 904, 2182, 2747, 3200, 3000, 14, 3459, 1138, 2063, 2853]"
2,"[1528, 1700, 1081, 116, 3673, 575, 140, 412, 2110, 559, 2485, 756, 1924, 1633, 1490, 2459, 2752, 201, 1792, 437, 1627, 3386, 133, 700, 1506, 2179, 1336, 270, 3595, 669, 1269, 1467, 361, 1456, 273, 1973]","[632, 307, 906, 898, 1278, 2953, 245, 257, 1245, 59, 1193, 479, 1203, 635, 85, 1808, 3419, 244, 1135, 212, 3437, 98, 1932, 2929, 1419, 340, 491, 579, 1723, 2519, 1271, 467, 1066, 1070, 930, 1323]","[3331, 765, 535, 2690, 2300, 992, 2047, 1670, 3132, 1585, 3170, 2836, 2319, 1175, 1440, 147, 627, 458, 609, 201, 3650, 2767, 782, 2528, 1165, 3401, 3536, 171, 2803, 412, 414, 1250, 429, 2318, 1914, 1530]","[1249, 2789, 2249, 1991, 2821, 1281, 756, 924, 518, 2064, 2804, 864, 2346, 1339, 3301, 2985, 1932, 1637, 567, 352, 2407, 2323, 929, 1738, 485, 3510, 744, 379, 2599, 971, 2309, 856, 2044, 2894, 1912, 2440]","[199, 257, 117, 1245, 512, 245, 651, 1465, 1040, 1019, 230, 146, 356, 2039, 1652, 353, 1472, 553, 1307, 1185, 121, 1135, 1269, 127, 1203, 906, 1164, 549, 120, 3683, 621, 1193, 1278, 59, 1066, 384]","[79, 858, 3150, 1025, 47, 591, 537, 1291, 118, 81, 95, 1219, 1142, 694, 58, 2091, 496, 1549, 1334, 338, 386, 904, 358, 2297, 2793, 440, 1491, 996, 1603, 401, 3476, 2020, 1598, 1405, 844, 115]"
3,"[669, 412, 2098, 304, 774, 116, 1245, 1584, 582, 1318, 3535, 506, 155, 1638, 2004, 663, 1001, 1552, 3549, 609, 2270, 3017, 2530, 1666, 1404, 457, 1717, 1243, 2024, 1112, 1271, 1812, 695, 615, 1686, 2594]","[632, 1070, 257, 1278, 906, 199, 307, 579, 621, 98, 2944, 1245, 1723, 635, 163, 410, 245, 512, 467, 1419, 340, 930, 3683, 146, 1323, 5, 1112, 1023, 3179, 898, 1646, 479, 195, 178, 698, 1193]","[3096, 765, 1591, 2020, 2300, 992, 344, 216, 3667, 3145, 1622, 2836, 732, 1175, 952, 147, 352, 458, 609, 201, 3012, 2767, 2447, 114, 1165, 1515, 699, 2467, 188, 412, 414, 1250, 3622, 2318, 3065, 1370]","[1233, 581, 669, 260, 1724, 1954, 114, 799, 337, 1762, 1612, 1280, 2849, 2242, 2051, 1813, 2076, 590, 2040, 1439, 1510, 3505, 197, 330, 2233, 62, 1337, 1649, 3264, 1544, 2527, 401, 1706, 1175, 1584, 915]","[257, 1203, 199, 2282, 906, 338, 512, 3683, 808, 2953, 2088, 1278, 3456, 424, 2356, 2761, 146, 2149, 2144, 1882, 2487, 819, 453, 708, 1620, 417, 3625, 157, 579, 949, 2079, 2248, 467, 1850, 3577, 283]","[95, 1677, 761, 1266, 1212, 1263, 81, 318, 217, 496, 55, 1603, 1096, 3337, 694, 401, 1759, 1129, 444, 1068, 118, 745, 693, 1950, 440, 2718, 858, 3512, 738, 1985, 2574, 115, 1643, 2018, 718, 946]"
4,"[2761, 1551, 615, 3065, 354, 193, 1801, 3600, 2149, 757, 1814, 965, 1723, 621, 756, 2849, 972, 412, 2508, 987, 3579, 510, 971, 3615, 348, 1662, 441, 2161, 688, 560, 2603, 1467, 230, 1781, 1405, 2769]","[257, 632, 906, 410, 1070, 2944, 199, 512, 517, 1419, 163, 307, 621, 98, 146, 467, 195, 1066, 1645, 3179, 93, 268, 209, 2271, 59, 5, 1112, 1267, 481, 340, 157, 1107, 479, 245, 1243, 283]","[662, 432, 2092, 817, 2300, 583, 1233, 660, 2433, 2884, 1520, 3273, 1578, 3108, 50, 1305, 133, 458, 2174, 3171, 1558, 2767, 2779, 749, 2831, 1767, 3125, 3464, 2866, 503, 2353, 1250, 3282, 2318, 2753, 3652]","[1223, 3261, 707, 3484, 1444, 3731, 1128, 684, 926, 3274, 761, 2175, 1635, 1891, 2485, 1945, 1517, 2325, 3479, 990, 1795, 3626, 592, 3042, 1911, 1637, 2779, 2582, 2073, 2454, 3348, 1392, 1720, 2380, 597, 3234]","[257, 199, 307, 906, 512, 943, 3683, 2356, 146, 774, 621, 3114, 2248, 2098, 2953, 2282, 31, 245, 1419, 93, 1928, 635, 1165, 3747, 3456, 2930, 517, 2289, 1897, 1808, 808, 98, 3554, 2149, 187, 2919]","[213, 3332, 2285, 1143, 3450, 3540, 2288, 1041, 3020, 1021, 804, 82, 95, 816, 2881, 2372, 55, 81, 2002, 1520, 2653, 1047, 998, 884, 852, 3203, 219, 586, 2701, 309, 377, 689, 585, 140, 2493, 1623]"
5,"[120, 2246, 582, 155, 133, 2489, 94, 2761, 971, 837, 246, 219, 295, 1257, 1991, 348, 756, 1505, 1179, 294, 1048, 1638, 440, 1375, 1510, 2, 987, 3396, 2091, 3233, 510, 1239, 1472, 1159, 123, 1297]","[257, 199, 906, 410, 1070, 621, 59, 163, 2923, 157, 512, 146, 2484, 307, 586, 110, 467, 1243, 2042, 1645, 1023, 10, 93, 209, 117, 579, 1193, 847, 517, 2246, 2953, 178, 1772, 294, 898, 212]","[297, 2356, 3476, 1774, 2300, 420, 873, 2553, 174, 580, 497, 998, 3183, 1559, 3072, 2665, 2501, 3171, 1216, 1371, 1794, 1783, 1874, 2498, 2446, 2991, 1628, 1939, 716, 3733, 3139, 893, 2534, 1852, 1676, 2600]","[2195, 2476, 147, 3397, 3070, 3032, 1487, 1974, 1277, 986, 893, 2493, 92, 3539, 1439, 2243, 684, 210, 2593, 1397, 2874, 1944, 3256, 2896, 298, 2511, 2695, 357, 3287, 1892, 1945, 1183, 3095, 2440, 3169, 944]","[3683, 906, 307, 512, 1925, 1203, 2282, 257, 2248, 424, 93, 3554, 2088, 1402, 247, 3437, 1411, 3654, 315, 1539, 848, 2378, 1900, 245, 199, 665, 1153, 2289, 3670, 187, 3674, 3069, 3451, 110, 1804, 1066]","[29, 95, 106, 2263, 1363, 3172, 1303, 82, 946, 1395, 791, 908, 3036, 3682, 254, 123, 1580, 3127, 1136, 333, 1895, 3274, 164, 1021, 408, 183, 216, 444, 151, 2242, 53, 3674, 87, 480, 1707, 2618]"
6,"[2213, 1081, 120, 1165, 185, 155, 2586, 48, 1798, 2469, 1951, 825, 898, 225, 2883, 1198, 532, 901, 1653, 2752, 580, 1039, 2321, 22, 1870, 1777, 1112, 1232, 1040, 556, 3459, 441, 3002, 117, 1517, 82]","[257, 906, 199, 110, 410, 146, 621, 467, 512, 930, 1070, 157, 59, 245, 2923, 307, 3456, 1189, 283, 1323, 93, 1267, 586, 163, 1991, 517, 1084, 117, 1897, 1066, 244, 1023, 424, 2248, 209, 3033]","[37, 1135, 107, 3041, 2300, 1651, 569, 2070, 1176, 3225, 584, 2182, 2911, 3320, 296, 61, 356, 3171, 2660, 1723, 2818, 1783, 309, 3494, 586, 3445, 3126, 800, 1603, 615, 1755, 893, 1246, 1852, 387, 3190]","[1717, 1214, 1158, 1027, 1507, 1451, 1448, 328, 460, 1739, 2823, 1752, 2157, 2246, 893, 2728, 2222, 2494, 2015, 1257, 2440, 640, 376, 2465, 800, 375, 172, 829, 2679, 3484, 2186, 1868, 1043, 2788, 1891, 899]","[146, 3683, 621, 496, 906, 512, 2248, 307, 2923, 2282, 1646, 2088, 2944, 1045, 2289, 157, 3182, 3554, 2770, 3069, 1189, 163, 1770, 110, 987, 2526, 1772, 93, 2509, 3466, 1938, 2518, 324, 3451, 1949, 3074]","[1088, 123, 1285, 226, 408, 444, 1042, 791, 210, 509, 1334, 662, 1156, 369, 1303, 3687, 1269, 2002, 1491, 354, 2407, 925, 131, 2284, 978, 2333, 1464, 2088, 401, 1514, 434, 87, 487, 1759, 484, 1240]"
7,"[117, 3592, 22, 965, 971, 1631, 3702, 2339, 1165, 1642, 3107, 2149, 544, 1092, 983, 2415, 1386, 512, 1327, 9, 1422, 3532, 648, 58, 105, 837, 712, 556, 1465, 1560, 437, 94, 2075, 3555, 245, 2]","[199, 410, 621, 146, 157, 512, 1070, 467, 163, 517, 93, 586, 59, 1267, 2923, 1808, 110, 1646, 1323, 244, 930, 2271, 1023, 1474, 245, 283, 1066, 1112, 1045, 117, 417, 1374, 237, 2519, 1084, 82]","[1808, 540, 3372, 2651, 2300, 3157, 2094, 1602, 2560, 3288, 2519, 172, 3368, 1667, 1227, 750, 3137, 81, 163, 3142, 3055, 1783, 3570, 127, 1382, 1332, 3756, 3258, 3743, 470, 3744, 893, 3053, 1852, 2639, 2075]","[532, 1833, 1570, 1782, 147, 0, 1790, 3015, 3307, 2872, 1547, 262, 1337, 1184, 2043, 298, 2995, 2023, 1445, 3208, 773, 3386, 3359, 1423, 15, 2285, 2476, 707, 60, 2939, 1281, 2261, 1651, 692, 460, 328]","[146, 2518, 621, 3683, 2271, 307, 3182, 2088, 1808, 2944, 2282, 632, 512, 59, 1070, 245, 410, 110, 3069, 340, 847, 3554, 3466, 3600, 268, 3007, 3129, 1770, 157, 467, 354, 1245, 1267, 1781, 1825, 1897]","[809, 2993, 1712, 2957, 854, 3593, 761, 552, 1013, 87, 791, 998, 3132, 2573, 2832, 1977, 1599, 2165, 3549, 1436, 1386, 415, 1231, 1018, 363, 433, 2304, 1452, 2467, 78, 164, 2929, 1751, 2858, 437, 748]"
8,"[162, 1257, 3388, 2, 117, 971, 993, 807, 141, 9, 206, 133, 1000, 532, 185, 2246, 1166, 390, 1742, 1092, 2144, 1179, 437, 1678, 739, 2095, 1663, 3341, 1999, 1253, 2163, 2318, 582, 1065, 800, 1011]","[621, 512, 1070, 146, 1112, 1023, 467, 59, 245, 163, 1045, 194, 1170, 1189, 266, 930, 1851, 110, 517, 1267, 212, 268, 5, 3170, 972, 2197, 1165, 2415, 253, 1322, 1342, 1323, 322, 1646, 1900, 155]","[1676, 3338, 1277, 1456, 2300, 2655, 1140, 2104, 939, 1046, 1064, 1696, 2692, 2514, 656, 620, 2179, 1723, 3304, 2261, 213, 1783, 3310, 502, 255, 31, 2787, 1872, 1614, 2039, 547, 893, 632, 1852, 3631, 1334]","[3192, 1090, 2170, 34, 709, 3318, 2164, 789, 998, 348, 1174, 207, 723, 860, 829, 3525, 2063, 1100, 1124, 1647, 1158, 326, 2460, 614, 2159, 1612, 2544, 1049, 446, 342, 1101, 122, 2419, 3251, 1903, 2665]","[146, 3683, 621, 2518, 3182, 307, 2282, 2271, 2088, 410, 3466, 1070, 3129, 3451, 3069, 2171, 2526, 632, 3554, 2443, 110, 1770, 2240, 93, 3007, 3674, 2079, 1515, 3345, 2971, 59, 2509, 3137, 2919, 315, 2449]","[1436, 190, 2363, 854, 2393, 1166, 2464, 1608, 3016, 1018, 1386, 1259, 748, 791, 55, 1627, 1017, 2573, 2213, 852, 1881, 1602, 998, 626, 758, 1567, 1265, 849, 123, 444, 761, 2060, 986, 896, 3022, 1176]"
9,"[2005, 582, 515, 739, 225, 9, 932, 898, 1031, 2009, 3592, 1612, 120, 390, 1882, 1108, 2196, 1378, 162, 807, 2362, 185, 1909, 2210, 437, 2344, 178, 2582, 2386, 1263, 1649, 1394, 1061, 800, 1081, 1078]","[1070, 621, 245, 163, 146, 283, 110, 467, 517, 268, 59, 1189, 1023, 1267, 1112, 5, 417, 3589, 2587, 1323, 922, 959, 2356, 455, 2923, 980, 1940, 2495, 896, 2602, 1646, 3242, 2779, 424, 425, 212]","[1773, 1215, 711, 446, 2300, 1619, 3452, 1501, 3031, 3422, 1924, 2455, 3542, 1905, 2800, 3519, 1379, 1723, 2236, 2610, 1547, 1783, 2139, 2467, 437, 3010, 2463, 2609, 2417, 78, 2679, 893, 3680, 1852, 1069, 1450]","[1644, 1265, 2437, 572, 528, 733, 92, 216, 288, 2447, 807, 270, 186, 660, 850, 1489, 1993, 1867, 1634, 990, 1449, 1946, 606, 899, 1790, 262, 1090, 3375, 1813, 1779, 3702, 697, 2679, 29, 2603, 3313]","[146, 3683, 2518, 3182, 2271, 621, 410, 632, 2282, 2088, 811, 2528, 1770, 307, 1932, 98, 3466, 3554, 110, 3069, 3724, 1710, 1808, 1066, 2986, 2443, 1356, 59, 2079, 2587, 1153, 2533, 3007, 3179, 2042, 1245]","[748, 854, 1295, 1759, 190, 521, 1798, 1870, 852, 594, 311, 274, 1425, 3500, 318, 444, 1021, 1656, 2264, 2552, 484, 2060, 284, 29, 1827, 1036, 967, 986, 1328, 347, 466, 1180, 586, 2280, 849, 124]"
10,"[2582, 739, 2586, 120, 627, 1020, 213, 9, 2447, 1928, 185, 2044, 817, 2148, 1421, 1103, 932, 2040, 1386, 1092, 1940, 1612, 515, 1229, 132, 1801, 46, 1994, 2005, 2678, 225, 366, 3313, 2334, 124, 133]","[1070, 621, 467, 146, 59, 1269, 212, 1326, 437, 283, 2752, 1808, 245, 481, 1940, 1046, 586, 963, 10, 424, 268, 1203, 308, 1318, 1483, 241, 1254, 1267, 184, 703, 675, 103, 3634, 2163, 1539, 972]","[3571, 1215, 3475, 392, 2300, 1619, 2222, 2555, 654, 3187, 928, 2455, 151, 1905, 1636, 3519, 1233, 1723, 2236, 2610, 3097, 1783, 3254, 2155, 437, 2334, 2157, 1161, 1012, 78, 2679, 893, 1661, 1852, 242, 2101]","[2133, 1529, 590, 3620, 488, 778, 1503, 3442, 1448, 446, 971, 509, 2347, 439, 3687, 1058, 533, 2642, 286, 1475, 1716, 3258, 1214, 802, 734, 767, 360, 1457, 326, 2225, 2150, 306, 270, 673, 1281, 721]","[146, 3182, 1932, 2088, 2282, 410, 110, 7, 59, 4, 3466, 98, 1070, 621, 157, 1153, 2042, 1772, 960, 3007, 665, 3069, 1770, 2827, 1830, 2904, 117, 2988, 2443, 2079, 898, 2519, 1887, 2714, 3139, 2986]","[758, 1208, 854, 320, 109, 978, 318, 1271, 1994, 144, 1068, 159, 2323, 991, 2405, 2929, 974, 3535, 65, 841, 466, 732, 2770, 1294, 852, 2763, 1258, 927, 1498, 1464, 676, 1300, 1036, 1064, 1295, 1315]"
