,fold0_variance,fold0_dens_variance,fold0_random,fold0_uncertainty
1,"[417, 787, 542, 7, 239, 114, 301, 41]","[127, 756, 343, 185, 110, 119, 160, 502]","[173, 319, 624, 52, 55, 753, 70, 132]","[103, 94, 310, 114, 73, 683, 446, 482]"
2,"[417, 498, 73, 244, 772, 160, 761, 343]","[343, 17, 160, 266, 132, 62, 756, 119]","[266, 43, 624, 544, 205, 238, 215, 741]","[721, 216, 485, 688, 339, 755, 541, 374]"
3,"[33, 62, 343, 32, 410, 442, 674, 116]","[692, 343, 554, 502, 756, 417, 160, 226]","[266, 706, 624, 544, 430, 441, 40, 741]","[173, 798, 353, 529, 551, 69, 55, 301]"
4,"[62, 410, 160, 651, 187, 87, 365, 442]","[417, 32, 595, 485, 62, 687, 105, 43]","[377, 547, 624, 495, 114, 437, 209, 457]","[452, 793, 177, 419, 116, 359, 693, 32]"
5,"[177, 433, 798, 760, 744, 745, 359, 354]","[261, 595, 320, 684, 335, 776, 337, 652]","[313, 330, 624, 155, 102, 356, 442, 504]","[380, 105, 284, 447, 219, 602, 31, 267]"
6,"[160, 685, 24, 134, 678, 711, 299, 744]","[556, 595, 151, 4, 474, 597, 39, 177]","[222, 512, 624, 738, 153, 73, 448, 115]","[559, 609, 502, 268, 472, 433, 500, 324]"
7,"[134, 63, 472, 44, 379, 706, 556, 192]","[39, 595, 134, 474, 610, 597, 143, 627]","[744, 590, 337, 290, 557, 491, 26, 363]","[63, 716, 793, 154, 708, 64, 754, 162]"
8,"[651, 96, 336, 155, 698, 654, 780, 506]","[474, 27, 595, 39, 241, 252, 275, 431]","[744, 590, 337, 290, 557, 491, 26, 363]","[33, 127, 380, 320, 582, 541, 552, 317]"
9,"[27, 480, 406, 337, 651, 331, 185, 31]","[474, 552, 151, 339, 268, 252, 652, 359]","[744, 713, 337, 290, 545, 465, 639, 363]","[51, 380, 366, 490, 554, 120, 782, 50]"
10,"[754, 744, 14, 597, 782, 116, 365, 31]","[474, 151, 595, 268, 630, 332, 86, 337]","[97, 30, 633, 596, 204, 237, 414, 224]","[267, 103, 674, 30, 380, 520, 502, 778]"
