,fold0_variance,fold0_dens_variance,fold0_random,fold0_uncertainty,fold0_dens_uncertainty,fold1_variance,fold1_dens_variance,fold1_random,fold1_uncertainty,fold1_dens_uncertainty
1,"[696, 388, 684, 407, 790, 267, 15, 430]","[18, 267, 245, 187, 338, 517, 4, 251]","[793, 146, 326, 407, 465, 338, 475, 276]","[714, 649, 130, 605, 752, 636, 370, 230]","[107, 627, 626, 559, 434, 321, 452, 329]","[355, 192, 563, 427, 138, 505, 694, 104]","[551, 555, 214, 624, 59, 333, 304, 110]","[792, 148, 325, 413, 471, 344, 481, 269]","[34, 618, 606, 639, 158, 367, 717, 794]","[673, 53, 514, 643, 147, 265, 277, 669]"
2,"[677, 279, 670, 342, 87, 602, 684, 625]","[308, 163, 591, 74, 530, 574, 607, 677]","[172, 569, 326, 628, 756, 26, 96, 586]","[39, 640, 176, 242, 762, 365, 480, 520]","[107, 434, 321, 395, 627, 563, 539, 142]","[550, 425, 52, 520, 749, 474, 278, 539]","[353, 586, 53, 146, 550, 754, 277, 326]","[174, 562, 325, 634, 752, 29, 92, 589]","[704, 12, 491, 84, 101, 186, 131, 279]","[643, 277, 760, 538, 723, 297, 21, 486]"
3,"[642, 551, 662, 91, 12, 461, 280, 523]","[163, 408, 342, 693, 785, 679, 37, 562]","[172, 222, 326, 628, 792, 354, 584, 586]","[478, 388, 467, 574, 550, 614, 361, 503]","[107, 434, 321, 627, 563, 149, 562, 539]","[554, 509, 375, 493, 603, 772, 356, 336]","[356, 679, 257, 416, 165, 751, 457, 491]","[174, 223, 325, 634, 793, 352, 588, 589]","[472, 284, 244, 463, 728, 368, 120, 73]","[643, 551, 277, 723, 36, 272, 499, 270]"
4,"[426, 699, 505, 7, 255, 352, 686, 244]","[87, 99, 89, 553, 427, 230, 104, 751]","[82, 653, 326, 266, 376, 406, 687, 608]","[100, 187, 724, 494, 781, 407, 359, 564]","[107, 321, 434, 627, 587, 539, 731, 127]","[653, 39, 412, 313, 93, 439, 757, 16]","[165, 479, 550, 230, 491, 676, 504, 606]","[77, 641, 325, 264, 378, 398, 688, 615]","[193, 174, 717, 264, 217, 280, 581, 697]","[723, 254, 110, 643, 124, 538, 677, 415]"
5,"[517, 550, 163, 415, 7, 502, 767, 406]","[342, 89, 221, 476, 417, 630, 609, 196]","[710, 678, 326, 565, 695, 200, 160, 428]","[167, 212, 682, 303, 166, 217, 569, 739]","[107, 99, 559, 784, 563, 152, 520, 587]","[203, 506, 353, 416, 112, 454, 266, 628]","[435, 466, 589, 686, 254, 165, 38, 560]","[708, 675, 325, 569, 697, 200, 161, 434]","[670, 462, 478, 123, 132, 749, 659, 335]","[254, 110, 677, 643, 251, 607, 613, 124]"
6,"[397, 737, 12, 339, 415, 163, 749, 359]","[476, 729, 163, 675, 474, 207, 54, 10]","[188, 144, 326, 161, 728, 669, 214, 65]","[87, 375, 490, 53, 686, 614, 41, 244]","[107, 673, 87, 142, 437, 513, 563, 350]","[776, 59, 165, 230, 537, 449, 121, 291]","[99, 272, 248, 785, 165, 356, 643, 706]","[187, 146, 325, 160, 733, 657, 208, 69]","[78, 543, 113, 353, 314, 700, 442, 256]","[110, 643, 254, 333, 295, 213, 723, 613]"
7,"[12, 380, 405, 429, 746, 163, 217, 88]","[675, 502, 488, 41, 242, 163, 111, 476]","[739, 680, 413, 440, 95, 491, 662, 27]","[330, 644, 282, 226, 267, 299, 579, 791]","[242, 785, 437, 563, 576, 150, 395, 16]","[165, 721, 782, 658, 591, 506, 310, 327]","[677, 99, 118, 302, 197, 505, 279, 38]","[721, 679, 409, 437, 99, 500, 667, 31]","[60, 133, 551, 87, 296, 12, 500, 721]","[333, 110, 643, 254, 343, 723, 143, 295]"
8,"[72, 684, 55, 682, 493, 502, 419, 196]","[434, 675, 502, 242, 271, 249, 89, 245]","[739, 680, 413, 440, 95, 491, 662, 27]","[438, 244, 786, 324, 636, 231, 426, 173]","[785, 243, 395, 99, 142, 168, 218, 374]","[676, 350, 591, 4, 719, 488, 766, 548]","[146, 643, 790, 99, 677, 131, 251, 607]","[721, 679, 409, 437, 99, 500, 667, 31]","[749, 45, 574, 653, 144, 566, 420, 182]","[333, 110, 254, 643, 676, 720, 404, 696]"
9,"[782, 187, 647, 749, 783, 186, 798, 196]","[675, 100, 163, 488, 502, 474, 196, 434]","[739, 775, 413, 440, 49, 93, 448, 27]","[181, 665, 141, 139, 678, 454, 128, 382]","[785, 142, 437, 247, 168, 338, 694, 751]","[591, 16, 685, 581, 660, 121, 338, 626]","[677, 146, 272, 134, 548, 251, 99, 327]","[721, 768, 409, 437, 45, 89, 452, 31]","[151, 420, 144, 734, 233, 473, 689, 84]","[333, 146, 254, 515, 785, 643, 282, 153]"
10,"[644, 647, 417, 129, 64, 744, 214, 502]","[163, 488, 502, 196, 716, 168, 625, 480]","[58, 572, 159, 470, 798, 21, 324, 441]","[435, 53, 737, 162, 206, 302, 619, 509]","[785, 31, 437, 693, 563, 756, 22, 150]","[449, 164, 685, 744, 522, 626, 485, 493]","[146, 251, 270, 643, 463, 118, 677, 256]","[55, 575, 159, 476, 799, 24, 324, 446]","[446, 681, 488, 778, 258, 237, 378, 438]","[333, 254, 515, 153, 785, 609, 499, 699]"
11,"[20, 533, 342, 311, 136, 561, 658, 540]","[488, 395, 561, 474, 342, 533, 168, 721]","[535, 696, 159, 470, 29, 243, 195, 752]","[728, 630, 472, 561, 538, 459, 200, 572]","[785, 673, 587, 142, 437, 650, 576, 199]","[466, 484, 721, 490, 553, 315, 96, 698]","[643, 99, 146, 648, 593, 754, 426, 589]","[538, 690, 159, 476, 17, 248, 198, 761]","[698, 566, 697, 401, 358, 356, 280, 374]","[333, 254, 785, 153, 525, 499, 610, 580]"
12,"[369, 589, 311, 129, 450, 6, 335, 134]","[488, 89, 457, 474, 684, 75, 107, 273]","[535, 696, 159, 470, 29, 243, 195, 752]","[443, 609, 719, 357, 320, 647, 541, 59]","[785, 218, 249, 142, 331, 784, 31, 22]","[746, 591, 559, 182, 505, 38, 292, 310]","[251, 99, 171, 104, 643, 236, 282, 589]","[538, 690, 159, 476, 17, 248, 198, 761]","[36, 182, 743, 94, 60, 728, 358, 620]","[333, 785, 254, 499, 138, 569, 153, 643]"
