,fold0_variance,fold0_dens_variance,fold0_random,fold0_uncertainty,fold0_dens_uncertainty,fold1_variance,fold1_dens_variance
1,"[240, 337, 407, 159, 751, 369, 474, 638]","[751, 187, 89, 408, 321, 338, 245, 693]","[793, 146, 326, 407, 465, 338, 475, 276]","[259, 87, 569, 427, 511, 79, 278, 73]","[563, 107, 576, 693, 626, 321, 395, 311]","[192, 550, 353, 16, 59, 505, 116, 442]","[165, 416, 59, 87, 104, 551, 754, 505]"
2,"[102, 746, 61, 517, 616, 333, 18, 267]","[18, 607, 591, 553, 579, 686, 104, 789]","[172, 569, 326, 628, 756, 26, 96, 586]","[237, 750, 605, 323, 541, 582, 523, 59]","[321, 107, 563, 576, 31, 587, 149, 152]","[192, 520, 104, 442, 508, 548, 244, 559]","[110, 165, 87, 333, 555, 624, 277, 356]"
3,"[186, 136, 12, 213, 572, 15, 354, 790]","[627, 242, 10, 530, 74, 163, 89, 267]","[172, 222, 326, 628, 792, 354, 584, 586]","[782, 739, 710, 450, 380, 358, 688, 630]","[321, 107, 31, 563, 785, 142, 698, 562]","[484, 563, 476, 591, 355, 192, 511, 753]","[356, 591, 505, 165, 254, 87, 134, 586]"
4,"[119, 579, 12, 102, 749, 525, 186, 427]","[163, 221, 168, 474, 104, 207, 502, 242]","[82, 653, 326, 266, 376, 406, 687, 608]","[373, 664, 718, 369, 167, 53, 12, 491]","[321, 107, 785, 31, 142, 576, 693, 563]","[591, 138, 662, 694, 326, 203, 506, 315]","[165, 591, 272, 118, 589, 50, 38, 147]"
5,"[17, 536, 313, 579, 682, 167, 12, 493]","[163, 476, 502, 488, 242, 89, 87, 530]","[710, 678, 326, 565, 695, 200, 160, 428]","[550, 382, 175, 159, 660, 303, 478, 171]","[107, 785, 142, 673, 4, 563, 249, 784]","[208, 505, 140, 326, 278, 717, 304, 16]","[165, 327, 356, 648, 754, 491, 147, 550]"
6,"[579, 304, 12, 749, 746, 662, 5, 119]","[476, 417, 163, 488, 242, 502, 89, 434]","[188, 144, 326, 161, 728, 669, 214, 65]","[779, 320, 719, 537, 187, 196, 72, 662]","[107, 4, 673, 785, 563, 142, 592, 127]","[279, 759, 756, 513, 208, 68, 31, 379]","[435, 146, 165, 87, 677, 317, 214, 230]"
7,"[339, 12, 419, 746, 537, 17, 382, 351]","[476, 163, 502, 89, 242, 488, 673, 609]","[739, 680, 413, 440, 95, 491, 662, 27]","[332, 349, 423, 21, 632, 769, 71, 553]","[4, 673, 785, 513, 587, 434, 350, 731]","[548, 23, 230, 479, 454, 685, 192, 369]","[677, 165, 146, 356, 147, 491, 536, 353]"
8,"[89, 19, 12, 724, 125, 104, 558, 54]","[242, 163, 673, 89, 488, 218, 511, 104]","[739, 680, 413, 440, 95, 491, 662, 27]","[186, 318, 682, 540, 348, 342, 656, 735]","[434, 4, 785, 142, 524, 673, 698, 437]","[479, 16, 208, 591, 225, 514, 382, 195]","[165, 146, 499, 147, 38, 457, 677, 171]"
9,"[89, 180, 12, 125, 397, 104, 579, 656]","[242, 89, 488, 339, 338, 673, 168, 129]","[739, 775, 413, 440, 49, 93, 448, 27]","[62, 20, 441, 157, 551, 267, 355, 562]","[434, 4, 437, 142, 247, 245, 698, 475]","[364, 292, 16, 63, 591, 45, 732, 394]","[165, 282, 147, 643, 634, 146, 272, 356]"
10,"[114, 68, 206, 133, 118, 132, 530, 389]","[242, 89, 675, 679, 168, 673, 562, 488]","[58, 572, 159, 470, 798, 21, 324, 441]","[129, 738, 406, 194, 781, 616, 177, 162]","[434, 4, 437, 245, 142, 587, 150, 329]","[427, 161, 16, 12, 355, 425, 701, 591]","[165, 677, 643, 270, 171, 441, 483, 184]"
